"CARPARKNUMBER","BRANCHCODE"
"P1","PG"
"P2","PG"
"P3","PG"
"P6","PG"
"P8","PG"
"P9","PG"
"PL10","PG"
"PL11","PG"
"PL12","PG"
"PL13","PG"
"PL15","PG"
"PL25","PG"
"PL16","PG"
"PL19","PG"
"PL24","PG"
"PL17","PG"
"PL18","PG"
"PL22","PG"
"PL26","PG"
"PL23","PG"
"PL27","PG"
"PL39","PG"
"PL40","PG"
"PL61","PG"
"PL63","PG"
"PL64","PG"
"PL75","PG"
"PL76","PG"
"PL78","PG"
"PL72","PG"
"PL74","PG"
"PL14","PG"
"PL28","PG"
"PL20","PG"
"PL29","PG"
"PL21","PG"
"PL30","PG"
"PL31","PG"
"PL32","PG"
"PL33","PG"
"PL34","PG"
"PL35","PG"
"PL36","PG"
"PL37","PG"
"PL38","PG"
"PL41","PG"
"PL42","PG"
"PL43","PG"
"PL44","PG"
"PL45","PG"
"PL46","PG"
"PL47","PG"
"PL48","PG"
"PL49","PG"
"PL50","PG"
"PL51","PG"
"PL52","PG"
"PL53","PG"
"PL54","PG"
"PL55","PG"
"PL56","PG"
"PL57","PG"
"PL58","PG"
"PL59","PG"
"PL60","PG"
"PL62","PG"
"PL65","PG"
"PL66","PG"
"PL67","PG"
"PL68","PG"
"PL69","PG"
"PL70","PG"
"PL71","PG"
"PL77","PG"
"P4","PG"
"P5","PG"
"P7","PG"
"TR1","SD"
"BJMP","CK"
"BJ10","CK"
"BJ11","CK"
"BJ13","CK"
"BJ12","CK"
"BJ14","CK"
"BJ25","CK"
"BJ26","CK"
"BJ27","CK"
"BJ28","CK"
"BJ31","CK"
"BJ33","CK"
"BJ34","CK"
"BJ32","CK"
"BJ35","CK"
"BJ36","CK"
"BJ37","CK"
"BJ38","CK"
"BJ39","CK"
"BJ40","CK"
"BJ41","CK"
"BJ42","CK"
"BJ43","CK"
"BJ44","CK"
"BJ45","CK"
"BJ48","CK"
"BJ49","CK"
"BJ50","CK"
"BJ57","CK"
"BJ58","CK"
"BJ60","CK"
"BJ61","CK"
"BJ62","CK"
"BJ63","CK"
"BJ65","CK"
"BJ66","CK"
"BJ67","CK"
"CK12","CK"
"CK13","CK"
"CKT1","CK"
"CK17","CK"
"CK18","CK"
"CK19","CK"
"CK26","CK"
"CK4A","CK"
"CK6A","CK"
"CK65","CK"
"CK66","CK"
"CK70","CK"
"CK71","CK"
"CK72","CK"
"CK73","CK"
"CK74","CK"
"CK75","CK"
"CK76","CK"
"CK77","CK"
"CK78","CK"
"BJ68","CK"
"CKM9","CK"
"CK59","CK"
"CK52","CK"
"CK53","CK"
"BJ29","CK"
"BJ30","CK"
"CK8A","CK"
"CK60","CK"
"CK61","CK"
"CK3A","CK"
"CK62","CK"
"BJ51","CK"
"BJ52","CK"
"BJ53","CK"
"BJ54","CK"
"BJ59","CK"
"CK63","CK"
"CK64","CK"
"BJ55","CK"
"BJ56","CK"
"BJ3","CK"
"BJ4","CK"
"BJ8","CK"
"BJ5","CK"
"BJ6","CK"
"BJ1","CK"
"BJ2","CK"
"BJ16","CK"
"BJ17","CK"
"BJ18","CK"
"BJ19","CK"
"BJ20","CK"
"BJ21","CK"
"BJ24","CK"
"BJ15","CK"
"BJ22","CK"
"BJ23","CK"
"CK1","CK"
"CK2","CK"
"CK3","CK"
"CK4","CK"
"CK5","CK"
"CK6","CK"
"CK7","CK"
"CK8","CK"
"CK9","CK"
"CK9A","CK"
"CK14","CK"
"CK15","CK"
"CK16","CK"
"CKT2","CK"
"CK20","CK"
"CK23","CK"
"CK24","CK"
"CK11","CK"
"CK29","CK"
"CK30","CK"
"CK28","CK"
"CK10","CK"
"CKM1","CK"
"CK31","CK"
"CK38","CK"
"CK33","CK"
"CK34","CK"
"CK35","CK"
"CK36","CK"
"CK37","CK"
"CK41","CK"
"CK39","CK"
"CK40","CK"
"CK42","CK"
"CK32","CK"
"CK48","CK"
"CK49","CK"
"CK50","CK"
"CK51","CK"
"CK44","CK"
"CK45","CK"
"CK46","CK"
"CK47","CK"
"CKM2","CK"
"TWM1","CK"
"CK25","CK"
"CK22","CK"
"TW2","CK"
"TWM2","CK"
"CKM3","CK"
"CK54","CK"
"TWM3","CK"
"CK55","CK"
"CKM4","CK"
"CK56","CK"
"CK57","CK"
"CKM7","CK"
"CKM8","CK"
"CK58","CK"
"CKM5","CK"
"CKM6","CK"
"TWM4","CK"
"TW1","CK"
"TW3","CK"
"TW4","CK"
"ECM","GE"
"EC7","GE"
"EC7T","GE"
"EI1","GE"
"EI3","GE"
"GE1B","GE"
"GE1E","GE"
"GE1F","GE"
"GE1D","GE"
"TRS","GE"
"MM2","GE"
"M36","GE"
"KM1","GE"
"MM3","GE"
"M20","GE"
"M37","GE"
"M38","GE"
"UAM1","GE"
"UA2","GE"
"UA6","GE"
"MM4","GE"
"M3","GE"
"M4","GE"
"GE1G","GE"
"MP2M","GE"
"GSM","GE"
"M1","GE"
"M32","GE"
"M16","GE"
"M29","GE"
"KU1","GE"
"KU9","GE"
"KU3","GE"
"KU4","GE"
"MP17","GE"
"MP5","GE"
"MP6","GE"
"MP7","GE"
"MP14","GE"
"MP15","GE"
"MP16","GE"
"MP13","GE"
"MP6S","GE"
"M25","GE"
"EC2","GE"
"EC5","GE"
"EC3","GE"
"EC4","GE"
"EC8","GE"
"K10","GE"
"K9","GE"
"KM2","GE"
"K19","GE"
"K21","GE"
"K22","GE"
"JB1","GE"
"JB2","GE"
"JB3","GE"
"K28","GE"
"LT1","GE"
"LT2","GE"
"LT3","GE"
"UA4","GE"
"HR1","GE"
"HR2","GE"
"HR3","GE"
"HR5","GE"
"GE2","GE"
"GE3","GE"
"GE5","GE"
"M28","GE"
"M34","GE"
"HR4","GE"
"JCM","GE"
"JB4","GE"
"KM3","GE"
"K2","GE"
"KM4","GE"
"KU2","GE"
"K2T","GE"
"K52","GE"
"K7","GE"
"MM1","GE"
"MM5","GE"
"MM6","GE"
"MP1","GE"
"MP1M","GE"
"MP12","GE"
"MP19","GE"
"MP2","GE"
"MP5M","GE"
"MP5S","GE"
"MP6M","GE"
"MP3M","GE"
"MP4M","GE"
"M33","GE"
"M35","GE"
"ACM","GE"
"GE1A","GE"
"GE1C","GE"
"GEM","GE"
"TRM","GE"
"UA3","GE"
"UA5","GE"
"AH1","TP"
"BA1","TP"
"BA2","TP"
"BA3","TP"
"BKE7","TP"
"BRB1","TP"
"BRM1","TP"
"BRM5","TP"
"BRM6","TP"
"BRM7","TP"
"BR10","TP"
"BR14","TP"
"BR18","TP"
"BR6","TP"
"BR9","TP"
"TPM4","TP"
"TPM5","TP"
"TPML","TP"
"TPMM","TP"
"BRM2","TP"
"BR22","TP"
"TP17","TP"
"TP56","TP"
"TP57","TP"
"TP48","TP"
"TP49","TP"
"TP50","TP"
"TP52","TP"
"TP53","TP"
"TP54","TP"
"TP31","TP"
"TP32","TP"
"TP33","TP"
"TP62","TP"
