SESSIONID,PREVSESSIONID,LICENSEPLATE,CARPARKNUMBER,VEHICLETYPE,LABEL_TYPE,TRANSACTION_TYPE,SESSIONSTART,SESSIONEND,TOTAL_CHARGE,DURATION,FIRST_ADVISORY_SENT_AT,FINAL_ADVISORY_SENT_AT,PAYMENT_STATUS,BILLINGID,PAYMENTID,TXN_STATUS,PATCH_STATUS,REDEMPTION,EFFECTIVE_CHARGE,REDEMPTION_TYPE
0PL81-E-00001-20211213001009,null,SHB2972B,PL81,C,SHORT TERM,LPRS,13/12/2021 00:10:09,13/12/2021 00:11:09,0,1,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213003019,null,SHC1582U,PL81,C,SHORT TERM,LPRS,13/12/2021 00:30:19,"",0,"","","",,"","",STARTED,,0,0,
0PL81-L-00030-20211213010252,0PL81-L-00030-20211213005959,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 01:02:52,13/12/2021 01:09:16,0,7,"","",,"","",ENDED,,0,0,
0PL80-E-00004-20211213000130,null,SMD3637T,PL80,C,season_W,LPRS,13/12/2021 00:01:30,13/12/2021 19:26:55,0,1165,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213000703,null,SMY3247A,PL80,C,SHORT TERM,LPRS,13/12/2021 00:07:03,13/12/2021 00:09:05,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213002928,null,SLG7697P,PL80,C,SHORT TERM,LPRS,13/12/2021 00:29:28,13/12/2021 00:31:31,0,2,"","",,"","",ENDED,,0,0,
0PL80-L-00476-20211213005510,null,SMR9917Y,PL80,C,season_W,LPRS,13/12/2021 00:55:10,13/12/2021 01:02:16,0,7,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213000332,null,SMG609D,PL80,C,SHORT TERM,LPRS,13/12/2021 00:03:32,13/12/2021 00:04:57,0,1,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213000152,null,SMC3669G,PL80,C,SHORT TERM,LPRS,13/12/2021 00:01:52,13/12/2021 00:05:12,0,4,"","",,"","",ENDED,,0,0,
0PL81-L-00030-20211213002759,0PL81-L-00030-20211213002728,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 00:27:59,13/12/2021 00:28:20,0,1,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213001406,null,SMR3853L,PL80,C,SHORT TERM,LPRS,13/12/2021 00:14:06,13/12/2021 00:15:52,0,1,"","",,"","",ENDED,,0,0,
0PL81-L-00032-20211213001334,0PL81-E-00001-20211212145313,SMG7914B,PL81,C,season_W,PHDB,13/12/2021 00:13:34,13/12/2021 00:14:10,0,1,"","",,"","",FORCE EXITED,,0,0,
0PL80-E-00003-20211213002725,null,SHD3512D,PL80,C,season_W,LPRS,13/12/2021 00:27:25,13/12/2021 00:34:01,0,7,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213003210,null,SLZ7910Z,PL80,C,SHORT TERM,LPRS,13/12/2021 00:32:10,13/12/2021 00:35:15,0,3,"","",,"","",ENDED,,0,0,
0PL81-L-00030-20211213005223,0PL81-L-00030-20211213005153,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 00:52:23,13/12/2021 00:54:23,0,2,"","",,"","",ENDED,,0,0,
0PL81-L-00030-20211213005444,0PL81-L-00030-20211213005223,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 00:54:44,13/12/2021 00:59:39,0,5,"","",,"","",ENDED,,0,0,
0PL80-L-00476-20211213010259,0PL80-L-00476-20211213005510,SMR9917Y,PL80,C,season_W,LPRS,13/12/2021 01:02:59,13/12/2021 01:05:04,0,3,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213000524,null,SGY2566G,PL81,C,season_W,PHDB,13/12/2021 00:05:24,13/12/2021 08:58:15,0,533,"","",,"","",EXITED,,0,0,
0PL81-E-00001-20211213000909,null,SJV6589U,PL81,C,SHORT TERM,LPRS,13/12/2021 00:09:09,13/12/2021 00:13:21,0,4,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213005033,null,SLK8974L,PL80,C,SHORT TERM,LPRS,13/12/2021 00:50:33,13/12/2021 00:51:16,0,1,"","",,"","",ENDED,,0,0,
0PL81-L-00032-20211213002421,0PL81-L-00032-20211213001521,SMG7914B,PL81,C,season_W,PHDB,13/12/2021 00:24:21,13/12/2021 00:25:14,0,1,"","",,"","",FORCE EXITED,,0,0,
0PL80-E-00001-20211213002811,null,SJS4091S,PL80,C,SHORT TERM,LPRS,13/12/2021 00:28:11,13/12/2021 00:31:56,0,3,"","",,"","",ENDED,,0,0,
0PL81-L-00168-20211213003232,null,SLB9630U,PL81,C,season_W,PHDB,13/12/2021 00:32:32,13/12/2021 00:38:04,0,6,"","",,"","",FORCE EXITED,,0,0,
0PL81-E-00001-20211213005523,null,GBG6295R,PL81,C,season_W,LPRS,13/12/2021 00:55:23,13/12/2021 00:55:23,0,0,"","",FC_WAIVED,"","",ENDED,,0,0,
0PL81-E-00001-20211213010154,null,SMX7096Y,PL81,C,season_W,LPRS,13/12/2021 01:01:54,13/12/2021 01:21:12,0,20,"","",,"","",ENDED,,0,0,
0PL81-L-00032-20211213010021,0PL81-L-00032-20211213005450,SMG7914B,PL81,C,season_W,PHDB,13/12/2021 01:00:21,13/12/2021 01:09:06,0,9,"","",,"","",FORCE EXITED,,0,0,
0PL81-E-00001-20211213011405,null,SLB4582H,PL81,C,season_W,LPRS,13/12/2021 01:14:05,13/12/2021 10:18:26,0,544,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213035718,null,SLQ7750R,PL80,C,SHORT TERM,LPRS,13/12/2021 03:57:18,13/12/2021 03:59:54,0,2,"","",,"","",ENDED,,0,0,
